claim_id,policy_id,claim_date,loss_date,claim_type,claim_amount,settlement_date,status,policyholder_region
sdv-id-CSftaJ,sdv-id-bwbyud,2022-04-23,2022-04-21,Health,20042.283740883846,2022-06-09,Closed,East
sdv-id-ywEPiM,sdv-id-KVAQVl,2022-06-10,2022-06-08,Health,30217.067407401526,,Open,East
sdv-id-nSTikk,sdv-id-SdmGCu,2022-05-05,2022-05-02,Auto,24824.699511236384,2022-09-10,Closed,North
sdv-id-lAXfbf,sdv-id-gBKxKD,2022-03-27,2022-03-25,Home,28582.195569420717,,Closed,South
sdv-id-NzNhFO,sdv-id-GfVUoa,2022-01-31,2022-01-29,Health,36666.8415636151,,Closed,West
sdv-id-rNFXQq,sdv-id-iMLIvt,2022-02-12,2022-02-09,Health,24086.366876396998,2022-05-19,Closed,East
sdv-id-WsLugS,sdv-id-PwwsCG,2022-03-26,2022-03-23,Auto,29548.428399533404,2022-06-23,Closed,North
sdv-id-locWJp,sdv-id-aLKbLo,2022-05-03,2022-05-01,Liability,50968.84606647792,2022-06-03,Closed,West
sdv-id-XLfacV,sdv-id-puAQJX,2022-06-04,2022-06-02,Auto,20875.431702186805,,Closed,South
sdv-id-ExjDEZ,sdv-id-abiHoa,2022-04-07,2022-04-07,Liability,18154.136805767463,2022-06-08,Closed,East
sdv-id-nCATMM,sdv-id-CYhMaa,2022-05-24,2022-05-22,Auto,26410.017456202542,,Closed,South
sdv-id-LAdCdR,sdv-id-TtZsYX,2022-04-25,2022-04-23,Home,13385.869557014774,2022-06-07,Closed,South
sdv-id-eKIWiN,sdv-id-lVyRFn,2022-04-17,2022-04-16,Auto,6358.780652875357,2022-08-07,Closed,North
sdv-id-SWRSJE,sdv-id-dbNthR,2022-04-07,2022-04-04,Home,67753.86281648072,2022-06-02,Closed,South
sdv-id-OPvtwp,sdv-id-rySdFo,2022-05-20,2022-05-17,Home,45735.398426196705,2022-06-15,Closed,East
sdv-id-GJwstd,sdv-id-NWoPls,2022-02-21,2022-02-21,Health,24282.620844860663,2022-05-16,Closed,East
sdv-id-JXVOzC,sdv-id-InZGRS,2022-03-11,2022-03-10,Auto,30919.98518216169,2022-07-03,Closed,North
sdv-id-XrCYgG,sdv-id-HyKRao,2022-03-08,2022-03-06,Home,4743.313176898802,,Open,West
sdv-id-jqxPDa,sdv-id-nWxkoJ,2022-07-07,2022-07-04,Auto,1478.6195253483675,,Open,South
sdv-id-rCnEzG,sdv-id-MSABdq,2022-04-12,2022-04-11,Liability,40437.05604594003,2022-09-04,Closed,West
sdv-id-SpmowA,sdv-id-CvHsRl,2022-07-23,2022-07-22,Home,30176.07344291965,2022-09-09,Closed,East
sdv-id-KheEUd,sdv-id-BvEEeY,2022-01-20,2022-01-19,Health,2027.6587976599403,2022-04-02,Closed,South
sdv-id-jSsvBF,sdv-id-Pekbyk,2022-01-02,2022-01-01,Liability,370.5,,Open,West
sdv-id-FzCqVo,sdv-id-XAAVKP,2022-05-30,2022-05-28,Home,16309.099717320805,,Closed,East
sdv-id-BjRQwQ,sdv-id-iJmcyJ,2022-03-13,2022-03-10,Health,39657.71103163023,,Open,East
sdv-id-DJeKrx,sdv-id-fNFReo,2022-04-18,2022-04-16,Health,15861.858276436344,2022-07-14,Closed,South
sdv-id-UVCmct,sdv-id-CULazt,2022-07-12,2022-07-11,Home,14309.340390108186,2022-07-16,Closed,East
sdv-id-cZNeYU,sdv-id-gAxacI,2022-04-27,2022-04-26,Home,5688.630258138099,2022-07-13,Closed,South
sdv-id-PRXHwL,sdv-id-XhATys,2022-01-02,2022-01-01,Liability,10397.12923775669,,Open,East
sdv-id-OCmPPG,sdv-id-rMxBfg,2022-02-14,2022-02-12,Auto,4152.835630400285,,Open,North
sdv-id-AMVLux,sdv-id-EYHqOW,2022-06-20,2022-06-18,Liability,50887.31297493494,,Closed,East
sdv-id-bCVSph,sdv-id-AxKwhk,2022-05-03,2022-05-01,Health,31422.766430492702,2022-09-03,Closed,South
sdv-id-fjMnSM,sdv-id-LRJxpY,2022-07-16,2022-07-14,Health,11192.268023753726,2022-09-03,Closed,East
sdv-id-HAajXB,sdv-id-REDECh,2022-04-06,2022-04-04,Auto,7433.589114034639,,Open,South
sdv-id-fUwbEw,sdv-id-NhpQfs,2022-04-02,2022-03-31,Health,29533.625365666085,,Open,East
sdv-id-ivaVRZ,sdv-id-RoWjfH,2022-03-09,2022-03-08,Auto,24194.4680107955,2022-05-28,Closed,North
sdv-id-Pljrza,sdv-id-mPxLtD,2022-07-23,2022-07-22,Liability,50154.64658928167,2022-09-03,Closed,West
sdv-id-QvtiAO,sdv-id-qdnFIO,2022-05-13,2022-05-10,Health,14899.532690268023,,Open,West
sdv-id-YcWRLX,sdv-id-HBuIcN,2022-03-22,2022-03-20,Auto,30770.068799634893,2022-04-26,Closed,North
sdv-id-yXsyXD,sdv-id-CCbhms,2022-05-22,2022-05-21,Home,10174.737401823719,,Open,South
sdv-id-iEYHCo,sdv-id-cqYvKS,2022-01-09,2022-01-08,Health,20843.589838943182,,Closed,South
sdv-id-fzzrhU,sdv-id-FkAlFX,2022-07-23,2022-07-22,Health,17604.042253892512,,Closed,South
sdv-id-RYTbHb,sdv-id-FwqxrH,2022-05-05,2022-05-04,Health,20074.18595694903,2022-05-14,Closed,East
sdv-id-bNlHRc,sdv-id-eDrNdq,2022-04-18,2022-04-16,Home,23036.465221228707,2022-04-19,Closed,South
sdv-id-UrqRQG,sdv-id-DfbKwu,2022-01-19,2022-01-16,Auto,1758.71772648381,,Closed,South
sdv-id-LLNMcR,sdv-id-NSDCcN,2022-01-14,2022-01-11,Health,30895.363241617786,,Open,East
sdv-id-GSgjEi,sdv-id-BrEfgW,2022-06-19,2022-06-15,Home,30966.08204851708,,Open,South
sdv-id-ZCOPgr,sdv-id-vhVOgg,2022-06-04,2022-06-02,Health,39167.96953012147,2022-07-11,Closed,South
sdv-id-yGDFEH,sdv-id-IsNCNZ,2022-03-16,2022-03-13,Home,30138.904819472024,2022-05-26,Closed,North
sdv-id-IspgEB,sdv-id-sjnlfj,2022-03-23,2022-03-21,Liability,5923.804642056686,,Closed,East
sdv-id-XVyjPb,sdv-id-WhOVYI,2022-04-20,2022-04-18,Home,37459.15332558473,2022-06-14,Closed,East
sdv-id-UxRvlZ,sdv-id-ADyxxP,2022-02-13,2022-02-12,Auto,10793.122001584781,2022-03-30,Closed,North
sdv-id-ubftvs,sdv-id-ibdJzN,2022-04-20,2022-04-17,Health,40986.55438040517,2022-07-13,Closed,East
sdv-id-wXHtsb,sdv-id-vKktrs,2022-04-04,2022-04-02,Health,38445.769974044175,2022-05-16,Closed,East
sdv-id-tFgUmd,sdv-id-XwQjbW,2022-05-30,2022-05-29,Home,30826.889329568712,2022-08-08,Closed,South
sdv-id-LesODQ,sdv-id-bkqbFZ,2022-03-12,2022-03-08,Liability,52757.37627432443,2022-04-12,Closed,West
sdv-id-RmwrvD,sdv-id-eZIpXG,2022-04-22,2022-04-20,Auto,32489.2847447489,,Closed,South
sdv-id-TcREzw,sdv-id-WEUTFP,2022-06-19,2022-06-17,Home,50054.99281190337,2022-09-26,Closed,South
sdv-id-kmZZlD,sdv-id-rfKuQC,2022-07-08,2022-07-07,Auto,43515.65464322874,2022-09-23,Closed,North
sdv-id-XjBIeD,sdv-id-tVLEPn,2022-03-18,2022-03-14,Home,38223.64944953837,,Open,South
sdv-id-tiTfAx,sdv-id-PlTNUP,2022-03-30,2022-03-27,Home,370.5,2022-05-10,Closed,South
sdv-id-WCdicq,sdv-id-iMdmNH,2022-07-22,2022-07-20,Liability,11149.98528131691,2022-07-23,Closed,East
sdv-id-MrJVWL,sdv-id-lLZKdn,2022-02-26,2022-02-25,Auto,38446.56266140963,2022-06-21,Closed,North
sdv-id-rtqDXv,sdv-id-XIbeiW,2022-04-12,2022-04-10,Liability,370.5,,Open,West
sdv-id-OsKyvw,sdv-id-yNrQJg,2022-07-23,2022-07-22,Auto,35101.44024817811,2022-07-24,Closed,South
sdv-id-RjKwTc,sdv-id-YRCCws,2022-03-04,2022-03-03,Home,13674.337768049507,,Closed,North
sdv-id-Quqiet,sdv-id-mRvliL,2022-03-18,2022-03-17,Liability,41207.13912556338,2022-06-13,Closed,West
sdv-id-JsYxws,sdv-id-KgTtdC,2022-06-13,2022-06-12,Home,31501.822282174096,2022-06-14,Closed,South
sdv-id-wAaedU,sdv-id-aaeiqc,2022-05-04,2022-05-01,Home,66779.1307315728,,Closed,South
sdv-id-PqUKtd,sdv-id-jJMsDk,2022-04-16,2022-04-15,Auto,20670.93790583271,2022-07-08,Closed,South
sdv-id-zuqxrT,sdv-id-qJZZbO,2022-02-19,2022-02-16,Health,42501.59237490494,2022-05-08,Closed,East
sdv-id-rEyFjJ,sdv-id-SZitQD,2022-07-23,2022-07-22,Liability,68093.56636614009,2022-10-12,Closed,West
sdv-id-JxAQln,sdv-id-rueayT,2022-05-06,2022-05-06,Auto,7153.914072131305,,Closed,South
sdv-id-jFFLMd,sdv-id-MDPzSB,2022-05-24,2022-05-21,Home,37669.42650986394,,Closed,East
sdv-id-NPVmSu,sdv-id-zwEkTi,2022-03-22,2022-03-20,Auto,20073.458634583185,2022-05-24,Closed,North
sdv-id-EVPwMx,sdv-id-ZaGhPO,2022-02-23,2022-02-20,Auto,13795.375868022462,2022-06-23,Closed,South
sdv-id-DEIIel,sdv-id-DjJHAB,2022-05-09,2022-05-07,Auto,42171.79943081019,2022-07-24,Closed,North
sdv-id-yYsSwu,sdv-id-tTWFcY,2022-07-14,2022-07-10,Liability,55983.171438177895,,Open,West
sdv-id-aKjDHE,sdv-id-oITDxo,2022-02-09,2022-02-07,Auto,6757.124288774296,2022-04-21,Closed,North
sdv-id-NccfTx,sdv-id-cHiacq,2022-01-08,2022-01-07,Auto,15007.319348931866,2022-05-27,Closed,North
sdv-id-zQQyuY,sdv-id-bFKHlm,2022-04-20,2022-04-19,Health,19134.637361873487,2022-05-24,Closed,East
sdv-id-boYSvX,sdv-id-jRUUSm,2022-06-01,2022-05-30,Liability,7646.0139677007355,,Closed,West
sdv-id-BhjwCT,sdv-id-TiQlvU,2022-07-13,2022-07-12,Health,30214.344836332384,,Closed,West
sdv-id-SmnJsC,sdv-id-jGsWki,2022-04-20,2022-04-20,Health,42097.88787752147,,Open,East
sdv-id-HYYawR,sdv-id-MGogfN,2022-01-02,2022-01-01,Home,370.5,,Open,South
sdv-id-vRhhhi,sdv-id-NXplOt,2022-07-17,2022-07-15,Home,37066.12320283266,,Closed,East
sdv-id-AMzuPS,sdv-id-gAHnEx,2022-01-19,2022-01-17,Health,25801.278681191605,2022-04-21,Closed,East
sdv-id-GzivtU,sdv-id-EqPXAQ,2022-04-26,2022-04-25,Liability,370.5,2022-04-26,Closed,West
sdv-id-XVoRir,sdv-id-OsZJcx,2022-05-26,2022-05-25,Liability,41389.191280125066,2022-06-30,Closed,East
sdv-id-mdarMk,sdv-id-dGpTzh,2022-01-05,2022-01-04,Health,10504.820172127262,,Closed,East
sdv-id-SVyELE,sdv-id-SiTCkA,2022-01-11,2022-01-09,Home,11188.752919188393,2022-02-14,Closed,South
sdv-id-sOfFQi,sdv-id-WSuYGA,2022-02-09,2022-02-07,Health,64707.54469755275,2022-04-05,Closed,East
sdv-id-ZbMVAN,sdv-id-rVqbGL,2022-02-05,2022-02-02,Liability,54772.95471706809,2022-04-25,Closed,East
sdv-id-cckfYS,sdv-id-GclARf,2022-04-29,2022-04-26,Home,54450.06262499608,2022-06-26,Closed,South
sdv-id-gfWdhb,sdv-id-bWEzKM,2022-04-16,2022-04-15,Liability,44297.232476423604,,Closed,West
sdv-id-jCBQBz,sdv-id-AjDdER,2022-05-30,2022-05-30,Health,15087.179495978662,2022-07-15,Closed,East
sdv-id-SoBYTK,sdv-id-CrhULH,2022-03-05,2022-03-03,Liability,41156.19284432996,2022-05-17,Closed,East
sdv-id-rdJVwx,sdv-id-bRlmPv,2022-03-03,2022-03-01,Home,19394.627238836543,,Closed,South
sdv-id-vLUSXg,sdv-id-BkIrnu,2022-01-14,2022-01-12,Home,33612.05804240785,2022-05-23,Closed,East
sdv-id-msLnPY,sdv-id-JGbCNP,2022-04-30,2022-04-29,Health,27119.893947581124,2022-07-09,Closed,South
sdv-id-vkBHlY,sdv-id-WmYEuJ,2022-07-23,2022-07-21,Auto,370.5,2022-08-06,Closed,North
sdv-id-QSKMyE,sdv-id-gZnAql,2022-03-16,2022-03-14,Auto,28011.396110946716,2022-06-11,Closed,North
sdv-id-qGaMvP,sdv-id-rdffgF,2022-05-30,2022-05-27,Home,12078.853291035774,,Closed,South
sdv-id-LbXMKp,sdv-id-RIVdqd,2022-04-04,2022-04-02,Health,39249.5564233754,2022-05-13,Closed,East
sdv-id-esqSTF,sdv-id-cHwXWj,2022-03-22,2022-03-21,Health,16773.181132662125,2022-06-05,Closed,East
sdv-id-GzsYSx,sdv-id-cCCvwf,2022-06-22,2022-06-21,Liability,13731.412437329573,,Open,West
sdv-id-ofsQZf,sdv-id-SEfLbi,2022-01-23,2022-01-21,Auto,370.5,2022-03-30,Closed,North
sdv-id-bOGVua,sdv-id-UAqBFX,2022-06-18,2022-06-16,Health,32021.2935665064,,Closed,West
sdv-id-QfysZC,sdv-id-JCuDZx,2022-05-10,2022-05-08,Auto,32456.32475717271,2022-06-23,Closed,North
sdv-id-HKhYTZ,sdv-id-PecNzv,2022-07-23,2022-07-22,Health,35161.053709847496,2022-08-19,Closed,East
sdv-id-kXXGfI,sdv-id-MrlocB,2022-01-30,2022-01-29,Home,370.5,,Closed,South
sdv-id-wQCkMu,sdv-id-hraKIq,2022-02-23,2022-02-22,Health,21766.365223913308,2022-05-24,Closed,South
sdv-id-fbPgMY,sdv-id-gOGolq,2022-04-10,2022-04-08,Health,49523.10398584277,2022-04-25,Closed,East
sdv-id-qWpokk,sdv-id-huFQIM,2022-04-07,2022-04-04,Liability,17373.309389847214,2022-05-07,Closed,West
sdv-id-NBhPqA,sdv-id-XvdMFO,2022-06-22,2022-06-19,Health,16823.304541345133,,Open,South
sdv-id-swEfTG,sdv-id-johOiF,2022-07-22,2022-07-20,Home,12873.301821003864,2022-09-25,Closed,South
sdv-id-SFfaCe,sdv-id-GNVMix,2022-05-24,2022-05-22,Health,12484.717983194823,2022-06-25,Closed,East
sdv-id-vINUaU,sdv-id-iPTDeL,2022-01-26,2022-01-24,Auto,7375.80432474097,,Open,North
sdv-id-doTSRE,sdv-id-rfsbph,2022-03-23,2022-03-21,Liability,32140.992662187422,2022-06-01,Closed,West
sdv-id-vcmzdp,sdv-id-IzvhNh,2022-06-14,2022-06-12,Health,28600.10095562602,2022-07-25,Closed,East
sdv-id-OJwBaB,sdv-id-OVSVMo,2022-01-02,2022-01-01,Home,21961.303485967284,2022-02-15,Closed,South
sdv-id-KQbSkm,sdv-id-GkWymV,2022-07-23,2022-07-22,Liability,43292.372378787244,2022-10-10,Closed,West
sdv-id-vkCkmN,sdv-id-hhOHam,2022-02-02,2022-01-30,Liability,35499.14317770448,2022-04-30,Closed,West
sdv-id-HyGsGV,sdv-id-gAlZGQ,2022-03-26,2022-03-24,Home,14903.255995475267,,Closed,North
sdv-id-JcWspZ,sdv-id-iwkUgm,2022-04-24,2022-04-22,Health,28362.525513785713,2022-04-30,Closed,South
sdv-id-apPDMJ,sdv-id-zQfnGb,2022-06-02,2022-05-31,Liability,42703.45434659438,2022-06-06,Closed,West
sdv-id-rNJVVm,sdv-id-paZgtP,2022-05-24,2022-05-21,Auto,370.5,,Open,North
sdv-id-SrAwHh,sdv-id-lcVGXi,2022-04-11,2022-04-10,Health,9799.425918813795,,Open,East
sdv-id-IRSvhz,sdv-id-ijsvIm,2022-04-11,2022-04-07,Health,24411.827988383702,,Open,East
sdv-id-Thkdmm,sdv-id-qCnRRg,2022-04-13,2022-04-11,Liability,10886.38629285028,,Closed,West
sdv-id-bzCKlu,sdv-id-mbelPJ,2022-01-02,2022-01-01,Home,29220.29770568864,,Open,South
sdv-id-zzkLqs,sdv-id-yxilSN,2022-04-09,2022-04-06,Auto,7033.470608293137,2022-05-27,Closed,North
sdv-id-Lcetfr,sdv-id-diSBqV,2022-05-27,2022-05-25,Auto,3531.4408856414884,,Closed,North
sdv-id-qodZBv,sdv-id-NOddiU,2022-07-18,2022-07-18,Health,370.5,2022-08-25,Closed,East
sdv-id-FHnEzO,sdv-id-uXuCzL,2022-04-28,2022-04-25,Liability,8722.440062692898,2022-06-10,Closed,West
sdv-id-AxQEkD,sdv-id-zGqRRa,2022-01-19,2022-01-17,Health,29371.226537981544,2022-04-14,Closed,East
sdv-id-MrNRGt,sdv-id-ZbvkNK,2022-05-15,2022-05-12,Home,16683.20468180139,2022-07-26,Closed,South
sdv-id-fPeYrn,sdv-id-PWDHGK,2022-03-26,2022-03-25,Home,22693.23899870631,2022-05-29,Closed,South
sdv-id-RCjQFe,sdv-id-MfLnhw,2022-02-12,2022-02-10,Home,45381.09256559142,2022-05-23,Closed,East
sdv-id-OzUWOg,sdv-id-aGNOsI,2022-07-17,2022-07-16,Home,15424.954481265986,,Closed,East
sdv-id-AKMUlu,sdv-id-FdClVe,2022-05-01,2022-04-30,Health,14133.84368635546,,Open,South
sdv-id-qnXOIK,sdv-id-CblLHh,2022-04-01,2022-03-30,Home,41321.570957771495,,Closed,South
sdv-id-GjcrMi,sdv-id-TlGoLo,2022-04-24,2022-04-22,Auto,17881.77160259021,2022-06-16,Closed,North
sdv-id-NBinLl,sdv-id-EiMJtM,2022-04-22,2022-04-20,Home,28018.500326593126,,Closed,South
sdv-id-FiXDpC,sdv-id-nemUea,2022-04-12,2022-04-11,Home,370.5,,Closed,South
sdv-id-ZjYPEK,sdv-id-AffLtc,2022-02-16,2022-02-12,Home,29617.440908415625,2022-04-05,Closed,North
sdv-id-rzfTpJ,sdv-id-OwoqhZ,2022-04-22,2022-04-18,Health,30325.15612178886,2022-06-29,Closed,East
sdv-id-cXplSO,sdv-id-MEfocS,2022-05-19,2022-05-16,Health,23870.18157161958,,Open,West
sdv-id-JNNnrz,sdv-id-fJstUm,2022-01-26,2022-01-24,Home,23808.98680549965,2022-04-09,Closed,South
sdv-id-bXWPFt,sdv-id-QXOSEX,2022-05-12,2022-05-09,Health,18153.364761313984,2022-07-13,Closed,South
sdv-id-ETxBvo,sdv-id-OiiiYz,2022-04-12,2022-04-10,Home,50384.113732997546,2022-06-18,Closed,South
sdv-id-PNhJHR,sdv-id-pOcUpR,2022-07-02,2022-06-29,Liability,56077.65872759314,2022-09-19,Closed,East
sdv-id-ggUQXm,sdv-id-ScecDA,2022-06-11,2022-06-09,Home,14106.274308456035,,Open,North
sdv-id-TczlxH,sdv-id-ZfSrgM,2022-06-21,2022-06-21,Liability,35390.911264318835,,Closed,West
sdv-id-eYSEAC,sdv-id-nmATvd,2022-07-23,2022-07-22,Health,5650.11290010282,2022-07-31,Closed,South
sdv-id-ViCbGg,sdv-id-ELufby,2022-03-23,2022-03-21,Home,944.9850491134712,2022-05-11,Closed,North
sdv-id-VYmSmo,sdv-id-KYFVfG,2022-03-24,2022-03-22,Health,3440.854335551172,2022-05-04,Closed,East
sdv-id-SgJTvd,sdv-id-yAsHjc,2022-02-06,2022-02-05,Auto,16771.583403245455,2022-03-18,Closed,South
sdv-id-ruBKep,sdv-id-ZVKnQO,2022-04-15,2022-04-13,Home,370.5,2022-07-09,Closed,North
sdv-id-KTPfrV,sdv-id-JEzyPk,2022-02-07,2022-02-03,Home,23412.874587683662,2022-04-18,Closed,South
sdv-id-YdXukq,sdv-id-avzbyL,2022-04-13,2022-04-11,Home,37286.94432150696,2022-05-29,Closed,North
sdv-id-MmQbUW,sdv-id-IKRPkF,2022-03-21,2022-03-19,Home,370.5,2022-04-16,Closed,South
sdv-id-ZZzvLC,sdv-id-dXYjdZ,2022-02-26,2022-02-24,Health,42315.55585874179,2022-07-25,Closed,West
sdv-id-EzdaJV,sdv-id-yXmKyE,2022-02-16,2022-02-13,Home,23737.11760790871,2022-05-15,Closed,South
sdv-id-AzwmcQ,sdv-id-CidhIm,2022-06-11,2022-06-08,Auto,20350.641051366736,2022-08-05,Closed,North
sdv-id-kqEUqw,sdv-id-fVInPh,2022-07-07,2022-07-05,Liability,56860.38209062551,2022-09-11,Closed,West
sdv-id-KzzCTr,sdv-id-MHrFIx,2022-04-03,2022-03-31,Liability,62386.935927760765,2022-06-06,Closed,West
sdv-id-OngSbj,sdv-id-hWyhrr,2022-03-31,2022-03-30,Health,10042.921867632744,2022-05-29,Closed,East
sdv-id-ATwJrl,sdv-id-IooNDV,2022-07-21,2022-07-18,Auto,33257.49164904949,,Open,South
sdv-id-TncibO,sdv-id-vWaQgE,2022-06-13,2022-06-09,Auto,40906.22691590385,2022-06-14,Closed,North
sdv-id-WdbqXB,sdv-id-iSuVfy,2022-06-24,2022-06-21,Home,34290.839925215296,,Closed,North
sdv-id-LgtVTA,sdv-id-FVInrO,2022-04-16,2022-04-15,Liability,55713.3499524268,2022-04-22,Closed,West
sdv-id-QvwwXc,sdv-id-SPHXAC,2022-03-02,2022-02-26,Auto,13548.066602055009,2022-03-28,Closed,North
sdv-id-eSYuIy,sdv-id-NLjgOS,2022-02-28,2022-02-25,Health,9311.50992498728,,Closed,South
sdv-id-ukqYep,sdv-id-DbklOa,2022-04-04,2022-04-03,Home,37941.93069485012,,Closed,South
sdv-id-vbvXvO,sdv-id-gdYFoY,2022-04-09,2022-04-08,Health,41418.47267732814,2022-05-23,Closed,East
sdv-id-ZRsatu,sdv-id-oycdXs,2022-04-05,2022-04-03,Liability,41199.519539249144,2022-06-03,Closed,West
sdv-id-KkJGoA,sdv-id-cUcjMq,2022-05-14,2022-05-14,Liability,14053.09637979271,2022-06-20,Closed,West
sdv-id-RaNHaU,sdv-id-HXklbP,2022-04-30,2022-04-26,Health,21743.804010403717,2022-08-23,Closed,East
sdv-id-iKpQhY,sdv-id-zrycWN,2022-06-12,2022-06-09,Home,20793.5799514327,,Closed,South
sdv-id-RpJivI,sdv-id-jokbiM,2022-05-13,2022-05-12,Auto,38068.83712184012,,Closed,North
sdv-id-fcOlWW,sdv-id-ueoSzD,2022-05-07,2022-05-06,Home,370.5,,Open,South
